"Dates","Types","Locals","Closings","BuildPings","Prices","LocalPings","Floors","Olds","ParkingSpaces"
"33","10812","華廈","極峰內湖區文湖街21巷118弄21~30號格局：2房(室)2廳1衛","1,295萬","23.72坪","54.6萬","5.28坪","5~5/7","7.0年","無"
"34","10812","電梯大樓","大湖生活家內湖區安泰街83巷1~10號格局：3房(室)2廳1衛","1,210萬(含車位120萬)","30.92坪(含車位5.04坪)","42.1萬","6.52坪","8~8/12","24.0年","有"
"35","10812","電梯大樓","文心漂亮花園內湖區五分街72巷1~10號格局：3房(室)2廳2衛","2,168萬(含車位250萬)","42.14坪(含車位10.20坪)","60.1萬","7.27坪","12~12/12","12.0年","有"
"36","10812","電梯大樓","湖山妍內湖區內湖路三段231~240號格局：3房(室)2廳2衛","3,765萬(含車位500萬)","82.77坪(含車位22.57坪)","54.2萬","13.16坪","11~11/14","6.0年","有"
"37","10812","電梯大樓","華固碧連天內湖區文德路71~80號格局：3房(室)2廳2衛","4,156萬(含車位250萬)","66.52坪(含車位10.72坪)","70.0萬","8.15坪","3~3/14","11.0年","有"
"38","10812","公寓","內湖區內湖路一段387巷2弄11~20號格局：3房(室)2廳2衛","1,336萬","26.78坪","49.9萬","8.12坪","3~3/5","38.0年","無"
"39","10812","公寓","內湖區內湖路二段179巷31~40號格局：3房(室)2廳1.5衛(加蓋格局：0房(室)1廳1衛)","1,200萬","32.10坪","37.4萬","8.86坪","5~5/5","38.0年","無"
"40","10812","電梯大樓","安縵莊園內湖區內湖路三段60巷31~40號格局：3房(室)2廳2衛","5,100萬(含車位250萬)","76.69坪(含車位7.93坪)","70.5萬","10.52坪","10~10/19","2.0年","有"
"41","10812","公寓","內湖區安泰街45巷14弄31~40號格局：3房(室)2廳1.5衛","770萬","29.71坪","25.9萬","8.84坪","3~3/5","35.0年","無"
"42","10812","電梯大樓","風和日麗內湖區成功路五段420巷1~10號格局：3房(室)2廳1衛","2,090萬(含車位250萬)","39.64坪(含車位11.49坪)","65.4萬","6.43坪","2~2/14","21.0年","有"
